system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,deforestation,geometry_name,year,.geo
103,0.7429930494486378,0.040231424776544025,0.05878185302220226,0.051294237468008326,0.30683692594585044,0.17224324090539236,0.07801486927858643,0.0759176397077527,donor1,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.7180324610534643,0.04792275661386123,0.06723070335622897,0.05758948745164001,0.31854121372262334,0.17694217272128335,0.08314429160301048,0.011237529985863267,donor2,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.7643960927440316,0.037199696384300325,0.05451495045272576,0.044473519737289684,0.3096531122169602,0.1592011280059203,0.0681148952390794,0.006581714818678854,donor3,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.7432170629918903,0.03693970176181731,0.05877222997720769,0.05047059698857093,0.3117693861099766,0.17997203559734598,0.07945936176114593,0.029061379124820673,donor4,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.7025694346909169,0.03257298757906858,0.05764100284100552,0.05388773615500288,0.29417718829549383,0.20352520674107902,0.09704457683932771,0.008138918933910194,donor5,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.6796650572090206,0.08283811939285723,0.09435331849702407,0.09385828828202039,0.3209270989700402,0.1804772909399585,0.10194301547920004,1.278467593873186E-4,treated,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.7948152995473081,0.03138554547002247,0.0522121759584146,0.04131486551797923,0.3251586880369986,0.1675656100851099,0.07227756412927676,0.005350976847352851,donor1,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.8309783488004312,0.02099746324149877,0.04174520909947442,0.029561080070942464,0.3062421891688574,0.15054183708018154,0.05890108150523585,0.01353608336625223,donor2,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.795064361061474,0.02797653578781334,0.04881273739181785,0.03700047353030487,0.31264920560628473,0.15189531417859317,0.06306593069379954,0.0014432186293910584,donor3,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.7103987365739147,0.05181534770443843,0.07376849738745826,0.06636247401152079,0.33271728595252664,0.19686597668942965,0.09759043278290545,0.006345204825846909,donor4,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.7139887815764381,0.030207068861370385,0.0547208790958803,0.0496170232647338,0.28964306785435445,0.18838807950599668,0.08895118854538173,0.00957491646997517,donor5,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
