"geometry_name","ATT_SC","Pre.RMSE_SC","Post.RMSE_SC","Ratio.Post.Pre_SC","order.x","rank.x","ATT_SCMO","Pre.RMSE_SCMO","Post.RMSE_SCMO","Ratio.Post.Pre_SCMO","order.y","rank.y","SCMO_wins_SC","centroid_lat","centroid_lon"
"donor62.0",0.000890073570325411,0.026458744561735,0.0424063291523481,1.60273398661842,45,0.384615384615385,0.0144580450795943,0.0179939325106842,0.0266691760939268,1.48212049134294,106,0.898305084745763,FALSE,-8.03857240392092,-55.3780331070282
"donor122.0",0.00400127042255584,0.0172966695106085,0.0276091642790007,1.59621274269404,46,0.393162393162393,0.00606520470184188,0.00579852038828088,0.011970176174562,2.06435010537418,96,0.813559322033898,FALSE,-9.6825113371869,-51.387885850835
"donor50.0",0.00512934436344459,0.0062473036167974,0.00965476896285718,1.54542976539478,47,0.401709401709402,0.00791011506096456,0.000575761779725506,0.0114381460870749,19.8661086752372,26,0.220338983050847,FALSE,-1.63563897918405,-54.121088918186
"donor8.0",-0.000293994346864985,0.00344208892782016,0.00531131338997678,1.54304943926605,48,0.41025641025641,-0.00670753588392244,0.0008040553355461,0.0151004628412105,18.7803776352713,28,0.23728813559322,FALSE,-7.1349434448897,-49.8766806484265
"donor38.0",0.00171672051086747,0.00665369574832414,0.0101593113790105,1.52686743777987,49,0.418803418803419,0.000548141222907959,0.00179569602130418,0.00595678773313214,3.31725841259359,83,0.703389830508475,TRUE,-1.21391816765961,-53.5096467023862
"donor46.0",0.00776386602266502,0.0464757938716034,0.0702146661962207,1.51077927555578,50,0.427350427350427,0.00578229499747717,0.0202666935149271,0.036820967018028,1.81682162366091,98,0.830508474576271,TRUE,-9.48130465725146,-52.0630254717632
"donor72.0",-0.00161603157530921,0.00692586815246075,0.0104333333345437,1.50642967854315,51,0.435897435897436,-0.00504382748780759,0.0012982367683539,0.0121871772143618,9.3874842489745,49,0.415254237288136,FALSE,-6.55308372321571,-51.2476373317322
"donor115.0",-0.00256833383860338,0.00209914151561708,0.00309021011167842,1.47213043460293,52,0.444444444444444,-0.00142576158753983,0.000535573515911447,0.0019693542938499,3.67709424633968,81,0.686440677966102,TRUE,-2.01728919246474,-55.5747061028816
"donor52.0",-0.0140667302595852,0.0138451074779979,0.0203488440534671,1.46974980770678,53,0.452991452991453,-0.00964434046819877,0.00710946835855164,0.0113822107420515,1.600993234376,103,0.872881355932203,TRUE,-6.22434401697635,-57.8542944062088
"donor43.0",0.00674389387189631,0.0102951184140781,0.0145053281960777,1.40895205015247,54,0.461538461538462,0.00513598922049096,0.00358368704838453,0.0145077626038741,4.04827832564619,77,0.652542372881356,TRUE,-4.87192912609204,-55.9602541842165
"donor96.0",0.00905892171258306,0.0121282453809097,0.0170781218226958,1.40812799265897,55,0.47008547008547,0.0127925805059159,0.00690948264623047,0.0180164788999247,2.6075004196955,87,0.73728813559322,FALSE,-3.59446300258627,-51.0695493718441
"donor144.0",0.00885017824922048,0.0161012232854057,0.0221695233422409,1.37688441115747,56,0.478632478632479,0.00497735169125229,0.00718677155151579,0.0130242402736844,1.81225188254904,99,0.838983050847458,TRUE,-9.56007175396367,-51.8717943492218
"donor57.0",-0.00393433804003887,0.00402791121834306,0.00546616979621452,1.35707305844321,57,0.487179487179487,0.000550160168545421,0.00294287878800907,0.00930866755384156,3.16311619485323,84,0.711864406779661,TRUE,-6.2917699937266,-48.8292101775587
"donor12.0",-0.00196763392055868,0.00644399747742607,0.00873357672954151,1.35530418193614,58,0.495726495726496,0.000472133285477449,0.00178440460646042,0.0192714694088173,10.7999437678233,43,0.364406779661017,TRUE,-4.07694789460946,-48.352439881976
"donor139.0",-0.0110299297054324,0.00947202339580441,0.0125069178122227,1.32040613600708,59,0.504273504273504,-0.00182745904982683,0.000675389247558862,0.00499221704136206,7.39161462727755,60,0.508474576271186,TRUE,-9.38959763728489,-54.9806038860601
"donor114.0",-0.00748545022314427,0.0067110420688932,0.00868880942015265,1.29470346496958,60,0.512820512820513,-0.00254083196659547,0.00149367073897015,0.00931939605641624,6.23925729631803,63,0.533898305084746,TRUE,-6.70293963698993,-49.238153311725
"donor137.0",0.0116753541383606,0.0159011965933148,0.0205863437078951,1.29464116659938,61,0.521367521367521,0.00378633060721527,0.0053311478982213,0.0126303444123437,2.36916038599448,92,0.779661016949153,TRUE,-1.33304286527814,-53.5046523697992
"donor10.0",-0.0159854360558595,0.0144295226295707,0.0185453842204338,1.28523892969462,62,0.52991452991453,-0.0021889119823344,0.00101263939281125,0.0330810171122789,32.6681120121554,17,0.14406779661017,TRUE,-1.37122508074021,-54.2628627300327
